bookTitle	bookSeries	bookAuthors	ratingValue	ratingCount	reviewCount	Plot_Values	Plot	NumberofPages	Publishing_Date	Characters	Setting	Url
Truckers	Bromeliad Trilogy #1	Terry Pratchett	3.92	14061	556	{5: '4192', 4: '5433', 3: '3691', 2: '627', 1: '118'}	"They're four inches tallin a human-sized world.Under the floorboards of the Store is a world of four-inch-tall nomes that humans never see. It is commonly known among these nomes that Arnold Bros. created the Store for them to live in, and he declared: ""Everything Under One Roof."" Therefore there can be no such thing as Outside. It just makes sense.That is, until the day a group of nomes arrives on a truck, claiming to be from Outside, talking about Day and Night and Snow and other crazy legends. And they soon uncover devastating news: The Store is about to be demolished. It's up to Masklin, one of the Outside nomes, to devise a daring escape plan that will forever change the nomes' vision of the world. . . ."	261	April 1st 2004	['Masklin', 'One (The Thing)', 'Torrit', 'Grimma']		https://www.goodreads.com/book/show/23346759-truckers
Voyage Through Time: Walks of Life to the Nobel Prize		Ahmed H. Zewail	3.85	271	18	{5: '94', 4: '82', 3: '66', 2: '17', 1: '12'}	From a beginning in an Egyptian delta town and the port of Alexandria to the scenic vistas of sunny southern California, Ahmed Zewail takes us on a voyage through time — his own life and the split-second world of the femtosecond. In this endearing exposé of his life and work until his receipt of the Nobel Prize in 1999, he draws lessons from his life story so far, and he meditates on the impact which the revolution in science has had on our modern world — in both developed and developing countries. What makes the book enchanting and engaging is Zewail's emphasis on the human dimension and his unique ability to paint the journey of Life and Science with insightful analogies and ingenious metaphors.But this inspiring book goes far beyond the usual province of an autobiography. Zewail integrates the two worlds he equally belongs to — Egypt and America — and, despite differences, he emphasizes the confluence of the two cultures — the East and the West. He rejects the view that the current state of the world is due to a clash of civilizations or a conflict of religions, and suggests a concrete course of action for the world of the have-nots. The book ends with his road map for a partnership between developed and developing worlds. Throughout the book, Zewail takes on the mantle of philosopher, historian and even political and economic adviser.	304	April 16th 2003			https://www.goodreads.com/book/show/6058913
Foolish Endeavors		R.F. Ricks	3.64	11	1	{5: '3', 4: '4', 3: '1', 2: '3', 1: '0'}	Madison finds that her life is spiraling out of control. Several illicit affairs and a birds eye view into Pandora's Box has taken her down a path of destruction. She vowed to always be in control of everything and seemed to live up to that until Camille entered her life. From ménage a tois to passion filled nights at the Mansion. Camille was insatiable and sexy beyond all imagination causing Madison to open up in ways never before. Now Madison must find a way to regain control of her life before she loses everything.	272	March 14th 2012			https://www.goodreads.com/book/show/7254244-foolish-endeavors
Pokémon Adventures, Vol. 4	Pokémon Adventures #4	['Hidenori Kusaka', 'Mato']	4.39	2340	91	{5: '1388', 4: '609', 3: '255', 2: '54', 1: '34'}	R to L (Japanese Style) Red doesn't just want to train PokÉmon, he wants to be their friend too. Read along as Red embarks on adventures with Pikachu, Bulbasaur and others that follow storylines from the videogames! PokÉmon trainer Red goes off on a training challenge and...never comes back! But a tired and tattered Pikachu manages to return home by himself. A mysterious young trainer in yellow befriends Pikachu, and together they set out to find our missing hero! Watch out for Team Rocket, Yellow Caballero... Could they be behind Red's mysterious disappearance? PokÉmon Manga—Gotta Read 'Em All! Adventures based on the Incredible Gameboy, Nintendo, and Wii RPGS!Chapters: 41 - 52	216	December 1st 2009			https://www.goodreads.com/book/show/7068985-pok-mon-adventures-vol-4
مؤلفات مختارة		['Anton Chekhov', 'أنطون تشيخوف']	4.33	354	36	{5: '186', 4: '118', 3: '36', 2: '8', 1: '6'}	الكتاب أربع مجلدات تضم أجمل ما كتبه عبقري القصة القصيرة أنطون تشيخوف ,نقله للعربية الدكتور ابوبكر يوسف , يستهل الكتاب ذكريات بعض الكُتّاب الروس أمثال ستانسلافسكي و غوركي مع تشيخوف					https://www.goodreads.com/book/show/11475698
Songs of the Doomed: More Notes on the Death of the American Dream	The Gonzo Papers #3	Hunter S. Thompson	3.85	3593	107	{5: '903', 4: '1484', 3: '999', 2: '182', 1: '25'}	"First published in 1990, Songs of the Doomed is back in print -- by popular demand! In this third and most extraordinary volume of the Gonzo Papers, Dr. Hunter S. Thompson recalls high and hideous moments in his thirty years in the Passing Lane -- and no one is safe from his hilarious, remarkably astute social commentary.  With Thompson's trademark insight and passion about the state of American politics and culture, Songs of the Doomed charts the long, strange trip from Kennedy to Quayle in Thompson's freewheeling, inimitable style. Spanning four decades -- 1950 to 1990 -- Thompson is at the top of his form while fleeing New York for Puerto Rico, riding with the Hell's Angels, investigating Las Vegas sleaze, grappling with the ""Dukakis problem,"" and finally, detailing his infamous lifestyle bust, trial documents, and Fourth Amendment battle with the Law. These tales -- often sleazy, brutal, and crude -- are only the tip of what Jack Nicholson called ""the most baffling human iceberg of our time."" Songs of the Doomed is vintage Thompson -- a brilliant, brazen, bawdy compilation of the greatest sound bites of Gonzo journalism from the past thirty years."	384	December 1st 2002			https://www.goodreads.com/book/show/54247.Songs_of_the_Doomed
قاصدک های بی پر		زهرا عباسی نیاسر	5.00	1	1			144	2011			https://www.goodreads.com/book/show/10370260
From Failure to Promise: An Uncommon Path to Professoriate		C. Moorer	3.29	89	19	{5: '22', 4: '13', 3: '28', 2: '21', 1: '5'}	"At a time when young adults need inspiration the most due to adversity, peer-pressure, and loss of direction ""From Failure to Promise"" -- author Dr. Cleamon Moorer shares insights, experiences, and a miraculous story of how God can transform the real you into the ideal you. Dr. Moorer tells about his journey from being a college flunk-out to becoming an engineer and ultimately a university professor. He exposes the realities of how many of the downtrodden are pushed to the brink of either surrender to the power of God or to a resistance and rejection of promise. Dr. Moorer takes readers on a faith journey from his adolescence in Detroit Public Schools to academic failure on the collegiate level and through other turbulent tracks on the way to becoming a university professor.This story of one young man's journey will serve as a compass for those who are in pursuit of success. He shares relative scriptures, skills, and strategies pertinent to overcoming failure. So many of us have experienced traumatizing failure and have struggled to find the strength and courage to stand and try again. Then there are those of us who fear failure and self-limit our potential to pursue what seems to be the impossible. But, the voice of God steadily calls for us to trust, follow, and obey.On a daily occasion you may find yourself wondering, how can I get to the top? Will I ever be who and what I want to be? Does God really want me to be in a position of power and authority? Whether you are beginning to pursue your dreams or facing seemingly insurmountable circumstances, you will need to understand how adversity, strife, and tribulation can bring you into alignment with God's will for your life to ultimately experience and realize great triumph. Readers will come away with a renewed inspiration and a guide to transformation through the renewal of mind, body, and spirit. This book will reassure readers that trouble and trials are often necessary for the fulfillment of great promise."	136	August 9th 2010			https://www.goodreads.com/book/show/9379496-from-failure-to-promise
Tower of Change	The Keys of Fate #1	Tina M. Randolph	2.52	33	27	{5: '4', 4: '3', 3: '9', 2: '7', 1: '10'}	Secrets and mysteries are locked within an ancient tower that the wizard's apprentice must guard with his life. One simple slip-up puts the fate of the world in the power of a desperate King's Mage, threatening to destroy peace and harmony throughout the world. Time is running out, and Galax Hanz is the only one with the magical arts to lead a collection of unlikely allies to retrieve the precious Keys of Fate. But when Galax is pursued by the evil Mage's Bloodwyns--the half-man, half-bird shadowy creatures of darkness--he soon realizes he has been drawn into a monumental struggle that challenges the foundations of his tradition. Galax will be forced to test his faith and training, which will guide him into the unknown regions on the road to the discovery of the alchemistic formula of life, death, and destiny.	236	December 20th 2010			https://www.goodreads.com/book/show/7151447-tower-of-change
CIRCUS RIDER		Peter Breschard	5.00	2	1		A novel history of both the first American circus and a Gilbert Stuart great American portraitWho were America's first superstars?At the end of a long day, when Thomas Jefferson and the Marquis de Lafayette wanted to relax and enjoy themselves, where did they go? Just like the rest of the gentlefolk of their day, they went to the circus theatre, of course. In 1810 where else could you find six hours of entertainment, good food, drink and amiable companionship? Where else could you see the epitome of horsemanship, jugglers, magicians, a drama by Shakespeare, and variety acts from around the world?Do you like a good mystery? Right now at the National Gallery of Art in Washington, D.C., hanging next to the Gilbert Stuart image of George Washington (which also graces the one dollar bill), is an unfinished Stuart portrait entitled THE CIRCUS RIDER. The NGA claims the subject of THE CIRCUS RIDER was an English acquaintance of Washington; however, the portrait was earlier identified by reliable witnesses as being a Frenchman, BRESCHARD, THE CIRCUS RIDER.Jean Baptiste Breschard, along with his partner, Victor Pépin, built theatres in New York, Philadelphia, Boston, Montreal, Havana, in every major American city, during the years surrounding the War of 1812. The Walnut Street Theatre in Philadelphia still stands and is the oldest continuously operating theatre in the English speaking world. M. Breschard, M. Pépin and Mme. Breschard were the premiere equestrians in this hemisphere when popular entertainment meant horsemanship. The Breschards and Pépin were the Elvis Presleys, the Samuel Goldwyns, and the P.T. Barnums of their day. Why have historians ignored America's greatest entertainers? Did the NGA make an honest mistake or did they believe they had created a superior circus story for attracting the public to their exhibitions? Combining primary sources and fiction, CIRCUS RIDER is both a novel and a history. Using a cross-disciplinary technique previously unavailable, connections among America's foremost statesmen, military men, architects, politicians and performers, during a time when the United States was at its greatest peril, are illuminated for the first time. CIRCUS RIDER is a novel history of the first American circus. CIRCUS RIDER is an ongoing history.	330	December 15th 2010			https://www.goodreads.com/book/show/10466478-circus-rider
The Device		Patrick Skelton	3.31	62	12	{5: '12', 4: '19', 3: '15', 2: '8', 1: '8'}	A troubled man's quest to uncover the secrets of his past leads to a chilling discovery.A mysterious device.A physicist with advanced medical knowledge.A man's quest to uncover the secrets of his past and save the woman he loves.When John Timmons finds an unusual metal object behind his cabin in Colorado, he suspects it belongs to his new neighbor, Jacob Mowat--a retired nuclear engineer who claims to have been employed by the government. As their friendship progresses, John discovers that his neighbor is guarding a terrible secret. His search for answers leads to a startling truth about his own troubled past as an orphan and the fate of humanity. THE DEVICE is a character-driven mystery that explores loss and redemption, corruption and miracles. Fans of speculative fiction--George Orwell's 1984 and Aldous Huxley's Brave New World---will enjoy the frightening climax.NOTE: The publisher has edited and revised this edition. Formatting and grammatical issues have been corrected. Customer reviews citing issues with formatting and/or editing issues most likely reflect original edition copies which have since been revised.	284	January 31st 2011			https://www.goodreads.com/book/show/10586450-the-device
Playing the Jack	Historical Duo #1	Mary     Brown	4.25	233	32	{5: '117', 4: '71', 3: '35', 2: '7', 1: '3'}	In 1785 a runaway orphan joins a band of travelling players and, learning the tricks of their trade and of Madame Bonneville's child brothel, seeks the acceptance of the volatile, charming, mysterious showman, Jack.	583	March 1st 1985	['Sprat', 'Jack']		https://www.goodreads.com/book/show/1727464.Playing_the_Jack
Tempest's Legacy	Jane True #3	Nicole Peeler	4.06	4781	281	{5: '1739', 4: '1877', 3: '934', 2: '169', 1: '62'}	After a peaceful hiatus at home in Rockabill, Jane True thinks that her worst problem is that she still throws like a girl -- at least while throwing fireballs. Her peace of mind ends, however, when Anyan arrives one night with terrible news . . . news that will rock Jane's world to its very core.After demanding to help investigate a series of gruesome attacks on females -- supernatural, halfling, and human -- Jane quickly finds herself forced to confront her darkest nightmares as well as her deepest desires.And she's not sure which she finds more frightening.	344	January 1st 2011		['Maine']	https://www.goodreads.com/book/show/8434922-tempest-s-legacy
The Making: Volume One of The Golden Isle		R.J. Skrimager	5.00	1	0		Set in the mystical land of the Golden Isle, two overprotected teenage girls from a royal family are suddenly thrust into a situation where they must run for their lives from their own people and run headlong into an inescapable prophecy that threatens the very existence of their world. With the purest of evil in hot pursuit,	384	January 27th 2003			https://www.goodreads.com/book/show/999505.The_Making
Eminent Victorians		Lytton Strachey	3.76	2072	144	{5: '515', 4: '773', 3: '598', 2: '136', 1: '50'}	Few books have had such an impact on their own generation as did Eminent Victorians, which exposed the hypocrisy of the Victorian era by deflating the legends surrounding four of its most notable figures. In the process, Strachey revitalized the art of biography.	571	August 27th 1993	['Cardinal Manning', 'Florence Nightingale', 'Thomas Arnold', 'Charles George Gordon']		https://www.goodreads.com/book/show/108824.Eminent_Victorians
Kering		Iwan Simatupang	3.95	148	15	{5: '52', 4: '51', 3: '33', 2: '10', 1: '2'}	Seorang mahasiswa berotak cemerlang, atas kehendaknya sendiri meninggalkan bangku kuliah. Ia tidak puas dengan sistem dan materi pendidikan yang diterimanya. Pergi bertransmigrasi, juga atas kemauannya sendiri.Kemarau yang sangat panjang mendatangkan kesengsaraan bagi seluruh penduduk. Rumput-rumput merunduk layu, satu persatu mata air kering. Satu demi satu enduduk meninggalkan desa pemukiman yang hampir mati itu. Satu-satunya yang masih tinggal hanya Tokoh kita. Tapi akhirnya ia kalah dengan musim dan terlempar ke kehidupan kota. Sampai akhirnya Tokoh kita satu kali menerima harta warisan yang banyak dari kematian teman dekatnya. Uang itu lalu ia gunakan untuk membangun satu kota transmigrasi.	168	1985	['Aku']	['Indonesia']	https://www.goodreads.com/book/show/3005671-kering
An Angel from Hell: Real Life on the Front Lines		Ryan A. Conklin	4.11	135	15	{5: '64', 4: '32', 3: '31', 2: '6', 1: '2'}	" An edgy, gripping report from the front lines by a young veteran and cast member of The Real World: Brooklyn  Ryan Conklin enlisted in the Army at age seventeen, following 9/11, and joined Angel Company. As a turret gunner with the famed 101st Airborne ""Screaming Eagles,"" and a member of the famed ""Rakkasans"" regiment-the most decorated regiment in the U.S. Army-he endured hellish conditions in the war-torn city of Tikrit, Iraq. When he returned to the States, he became a cast member on The Real World: Brooklyn in 2008. That came to an end when he received his notice recalling him to duty. An Angel from Hell is a gritty, blunt, and laugh­out-loud funny war memoir from the grunt's perspective. Conklin reveals what the Iraq war is really like, day to day-the misery, the boredom, the absurdity, the horror, and even the moments of grace. With stunning candor and wisdom beyond his years, Ryan Conklin has documented a complex and unavoidably life-changing experience for his generation."	400	April 6th 2010			https://www.goodreads.com/book/show/7135797-an-angel-from-hell
Good Things Happened Today		Christopher Atwood	2.82	60	16	{5: '6', 4: '11', 3: '18', 2: '16', 1: '9'}	“A dynamic inspirational fiction about personal growth and development.” Good Things Happened Today uniquely blends spiritual connection and introspection with action and adventure. When a self-consumed, obsessive materialist is thrust into the hands of Noah, a homeless divinity living in Central Park, the trajectory of his life is changed forever. Together, they embark upon a fantastic journey of transformation and enlightenment. More than just a story of individual growth and perspective, Good Things Happened Today chronicles the intersection of multiple lives in the battle between good and evil. The course of humanity hangs in the balance, shaped and determined by the choices our characters make along the way—created by the choices we make each day.	166	January 15th 2011			https://www.goodreads.com/book/show/10334012-good-things-happened-today
Thug-A-Licious		Noire	4.39	2146	54	{5: '1328', 4: '479', 3: '234', 2: '68', 1: '37'}	“Have you ever wanted something so bad you was willing to crawl over bodies to get it? I mean, fiend for it so hard it didn’t matter who you hurt, how low you had to scrape, it was gonna be yours? That’s what music and balling did for me. They were the fundamentals behind my rise . . . and the perpetrators of my fall. They called me Harlem’s black prince–a rising star who carried street dreams on his back. But the streets, ya know. They got a way of coming for theirs. A method of sneaking up on you when you ain’t looking . . .”Andre “Thug-A-Licious” Williams came up on Harlem’s meanest streets. But thanks to his nearly ankle-breaking hoop moves and explosive mic skills, he makes it out–and dominates the rap scene with chart-topping urban hits.Thug has sexed all the hottest freaks and has a slew of baby mamas to show for it. But no matter how many women he takes to his bed, only one can claim his heart: successful beauty salon owner Carmiesha “Lil Muddah” Vernoy, his ride-or-die queen who has stuck by his side and guarded his back through thick and thin.But Thug also has a nightmarish history with someone else. Pimp Williams, his older cousin and ex—partner in crime, is a cold-blooded killer who spreads havoc all over Harlem and will stop at nothing to get what he wants–even if it means betraying his own family, crushing Carmiesha, and forcing Harlem’s black prince down to his knees and back to his bloody beginnings.“Urban erotica has never been hotter!”–Nikki Turner, author of Riding Dirty on I-95	352	August 29th 2006		['Harlem, New York City, New York']	https://www.goodreads.com/book/show/649939.Thug_A_Licious
Soul Cry (Missing Fathers: The Misunderstanding of a Fatherless Child): It's Never Too Late to Do the Right Thing		Andre Moore	4.00	2	1		"SOUL CRY: THE MISUNDERSTANDING OF A FATHERLESS CHILD. THE 1ST BOOK IN A 5 PART SERIES, WRITTEN BY ANDRE MOORE. TAKES YOU ON A PAINFULL YET INSPIRING JOURNEY OF THE LIFE OF A FATHERLESS YOUNG BOY AND THE THINGS THAT LET HIM TO REPEAT THE SAME CYCLE HE PROMISED HIMSELF HE WOULDN'T. THE UNGOING EPIDEMIC OF FATHERLESS CHILDREN. (author) Andre 26 years of age, native of Jamaica, Brooklyn raise. ---""My goal and mission is to inspire and uplift the fatherless children and show the fallen fathers of my generation and generations to come home with my writing and vision. I am a firm believer in the saying 'it's never too late to do the right thing'. Having being both a fatherless child and an absentee father, every page I write down to letters are done with great emotions, passion, pain, and hope."""	310	January 19th 2011			https://www.goodreads.com/book/show/10538422-soul-cry-missing-fathers
Flüsterkind - Dein Mann hat mich missbraucht; Ein Brief an meine Mutter		Mona Michaelsen	4.20	45	2	{5: '19', 4: '18', 3: '6', 2: '2', 1: '0'}	Als sie fünf ist, wird Mona zum ersten Mal von ihrem Stiefvater missbraucht. Jahrelang fügt sie sich seinen Drohungen und erduldet ihr Martyrium in dem Glauben, dass ihr niemand helfen kann. Als sie es nicht mehr aushält, erzählt sie ihrer Mutter von den Dingen, die niemand wissen darf. Die jedoch schenkt ihr kein Gehör und verurteilt sie damit zu einem unentrinnbaren Kreislauf aus Leiden, Angst und Scham. Hilflos muss Mona mitanschauen, wie sich der brutale Stiefvater auch noch an ihrer kleinen Schwester vergeht. Erst dreißig Jahre später schreibt Mona einen Brief an ihre Mutter. Die wegschaute, die nichts wissen wollte, die den Missbrauch duldete. Endlich erzählt Mona ihr all das, was sie damals nicht sagen durfte. Mit beklemmender Eindringlichkeit konfrontiert sie ihre Mutter mit der schrecklichen Wahrheit. Doch mehr als um die Mutter geht es um Mona selbst: Wort für Wort befreit sie sich von ihrer Vergangenheit. Flüsterkind ist der ehrliche, schonungslose Bericht einer Betroffenen, der zeigt, dass es mehr als einen Schuldigen gibt, wenn es um Kindesmissbrauch geht: den Täter und diejenigen, die wegschauen und ihn gewähren lassen.	288	2010			https://www.goodreads.com/book/show/8231406-fl-sterkind---dein-mann-hat-mich-missbraucht-ein-brief-an-meine-mutter
The Anatomy of Story: 22 Steps to Becoming a Master Storyteller		John Truby	4.28	4528	549	{5: '2239', 4: '1540', 3: '573', 2: '130', 1: '46'}	John Truby is one of the most respected and sought-after story consultants in the film industry, and his students have gone on to pen some of Hollywood's most successful films, including Sleepless in Seattle, Scream, and Shrek. The Anatomy of Story is his long-awaited first book, and it shares all of his secrets for writing a compelling script. Based on the lessons in his award-winning class, Great Screenwriting, The Anatomy of Story draws on a broad range of philosophy and mythology, offering fresh techniques and insightful anecdotes alongside Truby's own unique approach for how to build an effective, multifaceted narrative. Truby's method for constructing a story is at once insightful and practical, focusing on the hero's moral and emotional growth. As a result, writers will dig deep within and explore their own values and worldviews in order to create an effective story. Writers will come away with an extremely precise set of tools to work with--specific, useful techniques to make the audience care about their characters, and that make their characters grow in meaningful ways. They will construct a surprising plot that is unique to their particular concept, and they will learn how to express a moral vision that can genuinely move an audience.The foundations of story that Truby lays out are so fundamental they are applicable--and essential--to all writers, from novelists and short-story writers to journalists, memoirists, and writers of narrative non-fiction.	445	October 30th 2007			https://www.goodreads.com/book/show/1383168.The_Anatomy_of_Story
Kaddish for an Unborn Child	The Holocaust	['Imre Kertész', 'Tim Wilkinson']	3.82	1420	128	{5: '415', 4: '523', 3: '328', 2: '117', 1: '37'}	The first word in this mesmerizing novel by the winner of the Nobel Prize for Literature is “No.” It is how the novel’s narrator, a middle-aged Hungarian-Jewish writer, answers an acquaintance who asks him if he has a child. It is the answer he gave his wife (now ex-wife) years earlier when she told him she wanted one. The loss, longing and regret that haunt the years between those two “no”s give rise to one of the most eloquent meditations ever written on the Holocaust. As Kertesz’s narrator addresses the child he couldn’t bear to bring into the world he ushers readers into the labyrinth of his consciousness, dramatizing the paradoxes attendant on surviving the catastrophe of Auschwitz. Kaddish for the Unborn Child is a work of staggering power, lit by flashes of perverse wit and fueled by the energy of its wholly original voice. Translated by Tim Wilkinson	132	November 9th 2004			https://www.goodreads.com/book/show/47184.Kaddish_for_an_Unborn_Child
The Changeover		Margaret Mahy	4.06	3663	362	{5: '1592', 4: '1120', 3: '643', 2: '196', 1: '112'}	Carnegie medal-winning supernatural romance from Margaret Mahy.The face in the mirror. From the moment she saw it, Laura Chant knew that something dreadful was going to happen. It wasn’t the first time she’d been forewarned. But never before had anything so terrible happened. The horrifyingly evil Carmody Braque touched and branded her little brother – and now Jacko was very ill, getting steadily worse.There was only one way to save him. Laura had to change over: had to release her supernatural powers. And that meant joining forces with the extraordinary and enigmatic Sorenson Carlisle…	224	January 1st 1994		['Gardendale']	https://www.goodreads.com/book/show/351461.The_Changeover
Rena's Promise		['Rena Kornreich Gelissen', 'Heather Dune Macadam']	4.32	8586	558	{5: '4782', 4: '2455', 3: '868', 2: '268', 1: '213'}	"""I do not hate. To hate is to let Hitler win."" Rena Kornreich Gelissen""The most important book of the modern age!"" Neal Lavon, Voice of America""The most historically accurate book ever written of the first transport of women into Auschwitz--the only book ever written by a survivor of that transport, who survived 3 years and 41 days in the camps."" Irena Strezlecka, Director of the Museum of Women at AuschwitzOn March 26, 1942, the first transport of women arrived in Auschwitz. Among the 999 young Jewish women was Rena Kornreich, the 716th woman numbered in camp. A few days later, her sister Danka arrives and so begins a trial of love and courage that will last 3 years and 41 days, from the beginning Auschwitz death camp to the end of the war. Rena's Promise stands out from other memoirs in mere length of time she spent in the camps. No other survivor from the first transport has ever written about her experience and what it meant to survive for so long as a peasant and a hard laborer who spent 10-12 hours a day making bricks, pushing lorries, sifting sand, performing cartwheels.... From her escape from Dr. Mengele's experiment detail to her surreal meetings with SS woman Irma Grese, Rena tells a dynamic tale of courage and compassion that reminds us of the resiliency of the human spirit, and the power of people to help one another in unimaginable circumstances, be they Gentile or Jew, German or Pole, kapo or prisoner.Used in secondary school Holocaust programs.Recommended for Holocaust collections by the Library Journal."	288	2011			https://www.goodreads.com/book/show/386283.Rena_s_Promise
Translating Scotland. Nation and Identity		Aniela Korzeniowska	3.75	4	0		The first line of one of Maurice Lindsay's poems 'Speaking of Scotland' starts with the question: ' What do you mean when you speak of Scotland?' It is in the search to answer this question that the following book attempts to address the issue of understanding the very essence of Scotland, what has made up this complex nation throughout the ages, and how its identity can be understood and 'translated'. In translating Scotland, in explaining what is meant by the peoples who have made up the Scottish nation over the centuries and how their various identities have come to shape the Scottish culture we know today, Aniela Korzeniowska has reached towards the country's languages and literature, how the turns of history have influenced what has been written, and how this literature has been written.	308	2008			https://www.goodreads.com/book/show/10707571-translating-scotland-nation-and-identity
Lydia The Ladybug In Paris		Marie Lawrence	4.54	13	4	{5: '10', 4: '1', 3: '1', 2: '1', 1: '0'}	The King of France sees a need to build alliances with all the animals in the animal kingdom. To accomplish this end, he decides to host a fashion show in Paris where all the animal queens will be invited to display their finest attire. The animal queen who is voted to be the most fashionable will then be awarded a jewel from His Majesty's royal crown becoming most renown. One day, unexpectedly, a coach bearing the King's footman shows up at Lydia's door. She receives an invitation to this grand affair. How will Lydia, just a humble little lady bug, fare in this majestic pageantry with queens clad in the most glamorous attire? The imaginative plot with its twists and turns will have you laughing out loud while at the same time profoundly touched by its inspiring message. The author's skillful use of humorous rhyme, the dynamic storytelling, and the fanciful renderings of these queens in their fashion haute adds sheer magic to this heartwarming adventure. Recommended for ages 5-11	50	November 25th 2008			https://www.goodreads.com/book/show/6012335-lydia-the-ladybug-in-paris
موت سرير رقم 12		['Ghassan Kanafani', 'غسان كنفاني']	4.07	2717	435	{5: '990', 4: '1083', 3: '512', 2: '101', 1: '31'}	"""موت سرير رقم 12"" هي المجموعة القصصية الأولى التي أصدرها غسان كنفاني. وقد صدرت في بيروت عام 1961 بمقدمة قصيرة كتبها المؤلف يقول فيها: ""أنا أؤمن أن الكتاب يجب أن يقدم نفسه، وإذا عجز عن إحراز جزء من طموح كاتبه، فعلى الكاتب أن يقبل ذلك ببساطة، كما قبل -مرات ومرات- أن يمزق قصصاً ليعيد كتابتها. وهكذا ""فموت سرير رقم 12"" أدفعها لتشق طريقها، إن استطاعت أن تهتدي إلى أول الطريق، بنفسها، دون شفاعة ودون وساطة ودون جواز مرور"". ولأنها المجموعة الأولى، فإن ""موت سرير رقم 12"" تحمل الاتجاهات الرئيسية التي كانت تجربة كنفاني الإبداعية تحاول اكتشافها وبلورتها. نستطيع أن نميز ثلاثة خطوط رئيسية في المجموعة: الخط الأول: هو الخط الفلسطيني، إذا صح التعبير، حيث تبرز القصة القصيرة بوصفها استجماعاً للخطة التاريخية واستنطاقاً للذاكرة في سبيل صياغة رؤية فلسطينية جديدة تنطلق من الواقع المعاش ومن احتمالاته المتعددة. وفي هذه القصص يبرز النبض الحار لنثر كنفاني وقدرته على تكثيف اللحظات النثرية في رؤية تمزج بين مرارة الواقع وإمكانيات تغييره. الخط الثاني: خط المعاينة الواقعية، حيث يقدم كنفاني مجموعة من القصص الواقعية التي تصف حياة الناس في الخليج (حيث كان يقيم)، وسوف تكون هذه المحاولات الواقعية البذرة التي ستنمو وتتطور في كتابات كنفاني اللاحقة. الخط الثالث: هو خط طرح الأسئلة على الوجود، من سؤال محمد علي أكبر حول الموت، إلى سؤال قصة ""الأرجوحة"" حول الحب والعلاقات الإنسانية. هذه الخطوط ليست متوازية، بل إنها تتقاطع في أكثر من قصة ليشكل تقاطعها النبرة الخاصة التي استطاع كنفاني أن يؤسسها في القصة العربية القصيرة. فمن خلال تقاطع الخطين الأول والثاني، سوف تبرز رواية ""رجال في الشمس"" لتقدم من خلال واقع الفلسطينيين المهاجرين إلى الخليج صورة رمزية للواقع الفلسطيني والعربي بأسره. كما سيتطور هذا الخط في رواية ""أم سعد"" ليقدم لوحة نضالية عن تجربة المخيم الفلسطيني وسط القتال. وسيسمح الاتجاه الثالث لكنفاني أن يكتب روايته ""الأعمى والأطرش"" التي استشهد قبل إكمالها، ولكنها تعبر عن الكيفية الجديدة التي تطرح فيها أسئلة الوجود داخل التجربة الفلسطينية.لتحميل الرواية من هذا الرابط :https://goo.gl/QaY553"	194	January 1st 1987			https://www.goodreads.com/book/show/6375489-12
Ladies of Market Street		Emily Lear	3.34	32	6	{5: '9', 4: '6', 3: '9', 2: '3', 1: '5'}	"When Veronica Baldwin unexpectedly finds herself fighting a sex slave ring, she is not only struggling for her own life, she is fighting for her stolen ""sister,"" An. Veronica knows well the face of the man responsible for An's disappearance, and tragically, she knows his involvement means An is dead. Only this time, Veronica makes sure he pays for his sins with an eye for an eye.Veronica’s war has begun, but it is not her's to fight alone.When Veronica chased after her stolen sister, she left behind her flock of soiled doves. Three ladies just as devastated by their common sister’s abduction and violent death as Veronica, and just as ready to seek vengeance. Veronica brought together those ladies to save them from deadly fates on New York's meanest streets. She took them from their rootless and solitary lives and gave them back their minds, their souls, and their choices. Together they created their sisterhood; a modern-day brothel disguised by the façade of a real-estate firm. These women bring men’s fantasies to life in vacant apartments scattered throughout Manhattan, and their services are highly sought after.Now, Veronica has failed one of her sisters. The pain inside her guides her and the sisterhood to avenge the murder of one of their own. Through a thrilling but heartbreaking investigation that utilizes their access to the most powerful men in New York, the girls realize that the slavery ring's chain of command runs all the way up to the City's highest levels."	276				https://www.goodreads.com/book/show/10468695-ladies-of-market-street
Arousing Love		M.H. Strom	3.33	1555	187	{5: '466', 4: '294', 3: '322', 2: '235', 1: '238'}	Can it be true love when you're only fifteen?When Zach meets Joanna it's almost love at first sight until he finds out she's only fifteen. He knows she's too young for him but he has never felt like this about anybody before. She's sexy and sweet and flirty and free and the most beautiful girl he has ever known.Joanna is swept away by her feelings for Zach as they grow increasingly passionate with each other. It's like God has whispered in her heart Zach is the one for her. Can it be true love when you're only fifteen?	160	August 10th 2009			https://www.goodreads.com/book/show/13143454-arousing-love
